Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:11:19 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:11:34 GMT]
sgaf cancled election initiation [25 Feb 2011 15:11:34 GMT]
Device or resource busy DEVICE:zxc [25 Feb 2011 15:22:50 GMT]
Device or resource busy DEVICE:HTC Dream [25 Feb 2011 15:22:51 GMT]
Service discovery failed DEVICE:ty [25 Feb 2011 15:22:57 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:23:08 GMT]
Service discovery failed DEVICE:sgaf [25 Feb 2011 15:40:56 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:41:05 GMT]
Service discovery failed DEVICE:qwerty [25 Feb 2011 15:41:11 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:41:18 GMT]
Service discovery failed DEVICE:ty [25 Feb 2011 15:41:28 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 15:41:33 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 15:41:38 GMT]
zxc cancled election initiation [25 Feb 2011 16:44:31 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 16:47:15 GMT]
ty cancled election initiation [25 Feb 2011 16:47:23 GMT]
qwerty cancled election initiation [25 Feb 2011 16:47:23 GMT]
sgaf cancled election initiation [25 Feb 2011 17:23:13 GMT]
qwerty cancled election initiation [25 Feb 2011 17:23:13 GMT]
Service discovery failed DEVICE:sgaf [25 Feb 2011 17:27:24 GMT]
Device or resource busy DEVICE:ty [25 Feb 2011 17:27:25 GMT]
qwerty cancled election initiation [25 Feb 2011 17:27:35 GMT]
zxc cancled election initiation [25 Feb 2011 17:27:35 GMT]
