Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:00:02 GMT]
Service discovery failed DEVICE:asdf [25 Feb 2011 15:00:04 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 15:00:10 GMT]
Service discovery failed DEVICE:qwerty [25 Feb 2011 15:08:10 GMT]
HTC Dream cancled election initiation [25 Feb 2011 15:08:10 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:12:22 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:12:34 GMT]
HTC Dream cancled election initiation [25 Feb 2011 15:12:44 GMT]
asdf cancled election initiation [25 Feb 2011 15:12:44 GMT]
qwerty cancled election initiation [25 Feb 2011 15:12:44 GMT]
zxc cancled election initiation [25 Feb 2011 15:28:02 GMT]
asdf cancled election initiation [25 Feb 2011 15:28:02 GMT]
HTC Dream cancled election initiation [25 Feb 2011 15:28:02 GMT]
09 cancled election initiation [25 Feb 2011 15:28:08 GMT]
Connection timed out DEVICE:HTC Dream [25 Feb 2011 15:33:25 GMT]
Service discovery failed DEVICE:qwerty [25 Feb 2011 15:33:27 GMT]
Service discovery failed DEVICE:09 [25 Feb 2011 15:33:32 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 15:33:35 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 15:33:38 GMT]
ty cancled election initiation [25 Feb 2011 15:33:38 GMT]
HTC Dream cancled election initiation [25 Feb 2011 15:33:38 GMT]
HTC Dream cancled election initiation [25 Feb 2011 15:37:12 GMT]
zxc cancled election initiation [25 Feb 2011 15:37:12 GMT]
Service discovery failed DEVICE:qwerty [25 Feb 2011 16:22:58 GMT]
Service discovery failed DEVICE:HTC Dream [25 Feb 2011 16:23:08 GMT]
ty cancled election initiation [25 Feb 2011 16:23:08 GMT]
Service discovery failed DEVICE:qwerty [25 Feb 2011 16:50:13 GMT]
Service discovery failed DEVICE:asdf [25 Feb 2011 17:20:42 GMT]
ty cancled election initiation [25 Feb 2011 17:20:45 GMT]
Service discovery failed DEVICE:ty [25 Feb 2011 17:24:42 GMT]
Service discovery failed DEVICE:asdf [25 Feb 2011 17:24:50 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 17:24:56 GMT]
Service discovery failed DEVICE:asdf [25 Feb 2011 17:38:33 GMT]
zxc cancled election initiation [25 Feb 2011 17:38:38 GMT]
Service discovery failed DEVICE:zxc [25 Feb 2011 17:42:49 GMT]
asdf cancled election initiation [25 Feb 2011 17:43:03 GMT]
