10:32:07 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:44:34 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:52:05 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
09 cancled election initiation [9 Mar 2011 16:54:41 GMT]
zxc cancled election initiation [9 Mar 2011 16:54:41 GMT]
07 cancled election initiation [9 Mar 2011 16:54:41 GMT]
Service discovery failed DEVICE:09 [9 Mar 2011 17:00:03 GMT]
07 cancled election initiation [9 Mar 2011 17:00:07 GMT]
Device or resource busy DEVICE:zxc [9 Mar 2011 17:25:54 GMT]
12:09:56 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
07 cancled election initiation [9 Mar 2011 18:12:33 GMT]
